iteration,start_time,end_time,latency_ms
0,400282.1456801,400282.1999274,54.24729996593669
1,400282.1999384,400282.2569925,57.054099976085126
2,400282.2570097,400282.3310128,74.00309998774901
3,400282.3310262,400282.3871691,56.14290002267808
4,400282.3871809,400282.4581924,71.01149996742606
5,400282.458206,400282.5283187,70.11269999202341
6,400282.5283317,400282.607704,79.37230000970885
7,400282.6077227,400282.6646257,56.9029999896884
8,400282.6646418,400282.7249264,60.28460001107305
9,400282.7249489,400282.7947976,69.84870001906529
10,400282.7948143,400282.873683,78.86869995854795
11,400282.8736937,400282.9306549,56.96119996719062
12,400282.9306665,400283.0085137,77.84719998016953
13,400283.0085265,400283.0618403,53.31379995914176
14,400283.0618528,400283.1257992,63.94639995414764
15,400283.1258099,400283.192549,66.7391000315547
16,400283.1925602,400283.2785616,86.00140002090484
17,400283.2785833,400283.3622585,83.67520000319928
18,400283.3622712,400283.4281426,65.87140000192448
19,400283.4281541,400283.482027,53.87289996724576
20,400283.4820415,400283.5368107,54.7692000400275
21,400283.5368221,400283.5946753,57.85320000723004
22,400283.5946875,400283.6609503,66.26280001364648
23,400283.6609748,400283.7157166,54.741800006013364
24,400283.7157404,400283.7949696,79.22919996781275
25,400283.7949959,400283.8599559,64.95999998878688
26,400283.8599756,400283.9280974,68.12180002452806
27,400283.9281185,400283.9926348,64.5162999862805
28,400283.9926594,400284.0637253,71.06590003240854
29,400284.0637511,400284.1436059,79.85480001661927
30,400284.1436315,400284.2147138,71.08229998266324
31,400284.2147389,400284.2744887,59.7497999551706
32,400284.2745151,400284.3435457,69.03060001786798
33,400284.3435657,400284.4109866,67.4208999844268
34,400284.411011,400284.4758902,64.87920001382008
35,400284.4759119,400284.5299826,54.07070001820102
36,400284.5300088,400284.61203,82.02120003988966
37,400284.6120544,400284.6793262,67.27180001325905
38,400284.6793517,400284.7491879,69.83619998209178
39,400284.7492139,400284.8525646,103.35069999564439
40,400284.8525897,400284.9093511,56.76139995921403
41,400284.9093767,400285.0067877,97.41099999519065
42,400285.0067997,400285.096228,89.42830003798008
43,400285.096253,400285.1524808,56.22779997065663
44,400285.1525088,400285.2291512,76.64240000303835
45,400285.2291738,400285.3079839,78.81010003620759
46,400285.3079959,400285.371069,63.07309999829158
47,400285.37108,400285.4391933,68.11329995980486
48,400285.4392053,400285.4922146,53.009299968834966
49,400285.4922262,400285.5452438,53.0175999738276
50,400285.5452562,400285.6022688,57.01260000932962
51,400285.6022798,400285.6583896,56.10980000346899
52,400285.6584019,400285.728517,70.11510001029819
53,400285.7285281,400285.7935645,65.03639998845756
54,400285.7935753,400285.8614694,67.89409997873008
55,400285.8614945,400285.930647,69.15249995654449
56,400285.9306724,400286.0128919,82.21950003644451
57,400286.01293,400286.0706681,57.73809994570911
58,400286.0706936,400286.1309142,60.220599989406765
59,400286.1309468,400286.2135018,82.55500002996996
60,400286.2135282,400286.2954327,81.9045000243932
61,400286.2954496,400286.3756101,80.16050001606345
62,400286.3756351,400286.4428886,67.25349999032915
63,400286.4429136,400286.5101384,67.22480000462383
64,400286.5101641,400286.589194,79.02990002185106
65,400286.5892211,400286.6653812,76.16009999765083
66,400286.6654067,400286.7432237,77.81699998304248
67,400286.7432486,400286.7994022,56.153599987737834
68,400286.7994273,400286.8783069,78.87959998333827
69,400286.8783319,400286.9334803,55.14840001706034
70,400286.9335171,400287.0135213,80.00419999007136
71,400287.0135594,400287.0797505,66.19109999155626
72,400287.0797755,400287.1468287,67.05319997854531
73,400287.1468535,400287.2283308,81.47730003111064
74,400287.2283501,400287.3069971,78.6470000166446
75,400287.3070102,400287.3632125,56.202300009317696
76,400287.3632254,400287.4201229,56.897500006016344
77,400287.4201363,400287.4928214,72.68510002177209
78,400287.4928459,400287.5461688,53.32289997022599
79,400287.5461922,400287.6099996,63.807400001678616
80,400287.6100233,400287.6687578,58.734500024002045
81,400287.6687722,400287.7451072,76.33499999064952
82,400287.7451309,400287.830414,85.28310002293438
83,400287.8304387,400287.9085227,78.08400003705174
84,400287.9085471,400287.9626044,54.05729997437447
85,400287.9626295,400288.0206033,57.97379999421537
86,400288.020629,400288.088114,67.48500000685453
87,400288.0881283,400288.1637559,75.62760001746938
88,400288.1637809,400288.2212653,57.48439999297261
89,400288.2212908,400288.2930923,71.80149998748675
90,400288.2931069,400288.3471489,54.041999974288046
91,400288.347174,400288.4016071,54.4330999837257
92,400288.4016341,400288.4799227,78.28859996516258
93,400288.4799495,400288.5589954,79.04589996905997
94,400288.5590198,400288.6292635,70.2436999999918
95,400288.6292884,400288.6941473,64.85889997566119
96,400288.6941718,400288.7612411,67.06929998472333
97,400288.7612665,400288.8752924,114.02590002398938
98,400288.8753175,400288.9759082,100.59070005081594
99,400288.9759249,400289.043187,67.26209999760613
